ds,y
2020-05-04 07:00:54.701999903,39397
2020-05-04 07:01:54.703000069,39399
2020-05-04 07:02:54.701999903,39401
2020-05-04 07:03:54.703000069,39403
2020-05-04 07:04:54.701999903,39405
2020-05-04 07:05:54.703000069,39407
2020-05-04 07:06:54.703000069,39409
2020-05-04 07:07:54.703000069,39411
2020-05-04 07:08:54.701999903,39413
2020-05-04 07:09:54.703000069,39415
2020-05-04 07:10:54.703000069,39417
2020-05-04 07:11:54.701999903,39419
2020-05-04 07:12:54.703000069,39421
2020-05-04 07:13:54.703000069,39423
2020-05-04 07:14:54.703000069,39425
2020-05-04 07:15:54.703000069,39427
2020-05-04 07:16:54.701999903,39429
2020-05-04 07:17:54.703000069,39431
2020-05-04 07:18:54.703000069,39433
2020-05-04 07:19:54.703000069,39435
2020-05-04 07:20:54.703000069,39437
2020-05-04 07:21:54.701999903,39439
2020-05-04 07:22:54.703000069,39441
2020-05-04 07:23:54.703000069,39443
2020-05-04 07:24:54.703000069,39445
2020-05-04 07:25:54.703000069,39447
2020-05-04 07:26:54.701999903,39449
2020-05-04 07:27:54.703000069,39451
2020-05-04 07:28:54.703000069,39453
2020-05-04 07:29:54.703000069,39455
2020-05-04 07:30:54.701999903,39457
2020-05-04 07:31:54.703000069,39459
2020-05-04 07:32:54.701999903,39461
2020-05-04 07:33:54.703000069,39463
2020-05-04 07:34:54.703000069,39465
2020-05-04 07:35:54.703000069,39467
2020-05-04 07:36:54.703000069,39469
2020-05-04 07:37:54.703000069,39471
2020-05-04 07:38:54.701999903,39473
2020-05-04 07:39:54.703000069,39475
2020-05-04 07:40:54.703000069,39477
2020-05-04 07:41:54.703000069,39479
2020-05-04 07:42:54.701999903,39481
2020-05-04 07:43:54.701999903,39483
2020-05-04 07:44:54.703000069,39485
2020-05-04 07:45:54.703000069,39487
2020-05-04 07:46:54.703000069,39489
2020-05-04 07:47:54.703000069,39491
2020-05-04 07:48:54.703000069,39493
2020-05-04 07:49:54.703000069,39495
2020-05-04 07:50:54.703000069,39497
2020-05-04 07:51:54.703000069,39499
2020-05-04 07:52:54.703000069,39501
2020-05-04 07:53:54.701999903,39503
2020-05-04 07:54:54.703000069,39505
2020-05-04 07:55:54.701999903,39507
2020-05-04 07:56:54.703000069,39509
2020-05-04 07:57:54.703000069,39511
2020-05-04 07:58:54.703000069,39513
2020-05-04 07:59:54.703000069,39515
2020-05-04 08:00:54.703000069,39517
2020-05-04 08:01:54.703000069,39519
2020-05-04 08:02:54.703000069,39521
2020-05-04 08:03:54.701999903,39523
2020-05-04 08:04:54.703000069,39525
